Company,TypeName,Inches,RamGB,OpSys,WeightKG,Price,GHz,CpuBrand,CpuVersion,MainMemory,SecondMemory,MainMemoryType,SecondMemoryType,TouchScreen,Resolution,PanelType,GpuBrand,GpuVersion
Dell,Ultrabook,13.3,8,Windows 10,1.22,625.93344,1.6,Intel, Core i5 8250U ,128.0,0.0,SSD,None,1,1920x1080,IPSPanel,Intel, UHD Graphics 620
Lenovo,Gaming,15.6,8,Windows 10,2.5,638.72064,2.5,Intel, Core i5 7300HQ ,128.0,1000.0,SSD,HDD,0,1920x1080,IPSPanel,Nvidia, GeForce GTX 1050
HP,Notebook,15.6,4,No OS,1.86,164.95488,1.5,AMD, E-Series E2-9000e ,500.0,0.0,HDD,None,0,1366x768,Without,AMD, Radeon R2
Dell,2 in 1 Convertible,13.3,8,Windows 10,1.62,523.63584,1.6,Intel, Core i5 8250U ,256.0,0.0,SSD,None,1,1920x1080,Without,Intel, UHD Graphics 620
HP,Ultrabook,15.6,8,Windows 10,1.91,421.33824,1.8,Intel, Core i7 8550U ,256.0,0.0,SSD,None,0,1920x1080,Without,Intel, HD Graphics 620
Dell,Notebook,15.6,4,Windows 10,2.3,267.66167040000005,2.0,Intel, Core i3 6006U ,1000.0,0.0,HDD,None,0,1366x768,Without,Intel, HD Graphics 520
Apple,Ultrabook,13.3,8,Mac OS X,1.35,702.65664,1.6,Intel, Core i5 ,128.0,0.0,FlashStorage,None,0,1440x900,Without,Intel, HD Graphics 6000
Dell,Notebook,15.6,8,Windows 10,2.2,511.488,1.6,Intel, Core i5 8250U ,256.0,0.0,SSD,None,0,1920x1080,Without,AMD, Radeon 530
Dell,Ultrabook,15.6,8,Windows 10,1.88,829.8892800000001,1.9,Intel, Core i7 8650U ,256.0,256.0,SSD,SSD,0,1920x1080,Without,Intel, UHD Graphics 620
HP,Notebook,17.3,8,Windows 10,2.5,572.8665599999999,1.6,Intel, Core i5 8250U ,1000.0,0.0,HDD,None,0,1920x1080,Without,Nvidia, GeForce 930MX
Chuwi,Notebook,15.6,4,Windows 10,1.89,156.63680639999998,1.44,Intel, Atom x5-Z8300 ,64.0,0.0,FlashStorage,None,0,1920x1080,Without,Intel, HD Graphics
Asus,Notebook,14.0,2,Windows 10,1.65,127.23263999999999,1.5,AMD, E-Series E2-6110 ,32.0,0.0,FlashStorage,None,0,1366x768,Without,AMD, Radeon R2
HP,Notebook,17.3,4,Windows 10,2.71,280.67904,2.5,AMD, A6-Series 9220 ,500.0,0.0,HDD,None,0,1920x1080,Without,AMD, Radeon 530
Dell,Ultrabook,13.3,16,Windows 10,1.2,1194.9638400000001,1.8,Intel, Core i7 8550U ,512.0,0.0,SSD,None,1,3200x1800,Without,Intel, UHD Graphics 620
Apple,Ultrabook,13.3,8,Mac OS X,1.35,638.08128,1.6,Intel, Core i5 ,256.0,0.0,FlashStorage,None,0,1440x900,Without,Intel, HD Graphics 6000
Lenovo,Notebook,14.0,4,Windows 10,1.44,159.20064,1.1,Intel, Celeron Dual Core N3350 ,64.0,0.0,FlashStorage,None,0,1366x768,Without,Intel, HD Graphics 500
Acer,Notebook,15.6,4,Linux,2.1,234.64512,2.7,Intel, Core i3 7130U ,1000.0,0.0,HDD,None,0,1366x768,Without,Intel, HD Graphics 620
Dell,Notebook,17.3,8,Windows 10,2.8,625.93344,1.6,Intel, Core i5 8250U ,128.0,1000.0,SSD,HDD,0,1920x1080,IPSPanel,AMD, Radeon 530
HP,Notebook,15.6,4,Windows 10,1.86,312.4488384,2.5,Intel, Core i5 7200U ,1000.0,0.0,HDD,None,0,1366x768,Without,Intel, HD Graphics 620
HP,Notebook,15.6,8,Windows 10,2.1,561.9974400000001,1.6,Intel, Core i5 8250U ,256.0,0.0,SSD,None,0,1920x1080,Without,Nvidia, GeForce 930MX 
Asus,Notebook,15.6,4,Linux,2.0,248.71104,2.0,Intel, Core i3 6006U ,1000.0,0.0,HDD,None,0,1920x1080,Without,Intel, HD Graphics 620
Dell,Gaming,15.6,16,Windows 10,2.65,958.4006400000001,2.8,Intel, Core i7 7700HQ ,256.0,1000.0,SSD,HDD,0,1920x1080,IPSPanel,Nvidia, GeForce GTX 1060
Asus,Notebook,15.6,8,Linux,2.3,334.3788864,2.5,Intel, Core i5 7200U ,1000.0,0.0,HDD,None,0,1366x768,Without,Nvidia, GeForce 940MX
Acer,Notebook,15.6,4,Windows 10,2.2,436.04352,1.6,Intel, Core i5 8250U ,256.0,0.0,SSD,None,0,1920x1080,IPSPanel,Intel, UHD Graphics 620
Dell,2 in 1 Convertible,17.3,12,Windows 10,2.77,638.72064,1.6,Intel, Core i5 8250U ,1000.0,0.0,HDD,None,1,1920x1080,Without,Nvidia, GeForce 150MX
Apple,Ultrabook,13.3,8,macOS,1.37,907.2518400000001,2.0,Intel, Core i5 ,256.0,0.0,SSD,None,0,2560x1600,IPSPanelRetinaDisplay,Intel, Iris Graphics 540
Asus,Gaming,17.3,8,Windows 10,3.2,830.52864,3.0,AMD, Ryzen 1700 ,256.0,1000.0,SSD,HDD,0,1920x1080,Without,AMD, Radeon RX 580
Dell,Notebook,15.6,4,Windows 10,2.3,408.55104,2.5,Intel, Core i5 7200U ,256.0,0.0,SSD,None,0,1920x1080,Without,AMD, Radeon R5 M430
Asus,Notebook,17.3,4,Windows 10,2.8,297.94176,1.1,Intel, Pentium Quad Core N4200 ,1000.0,0.0,HDD,None,0,1366x768,Without,Nvidia, GeForce 920MX
Acer,Notebook,15.6,8,Windows 10,2.2,537.70176,1.8,Intel, Core i7 8550U ,256.0,0.0,SSD,None,0,1920x1080,IPSPanel,Nvidia, GeForce MX150
HP,Notebook,15.6,4,Windows 10,1.86,254.77856640000002,2.5,AMD, A6-Series 9220 ,256.0,0.0,SSD,None,0,1920x1080,Without,AMD, Radeon R4 Graphics
HP,Notebook,13.3,8,Windows 10,1.49,705.21408,1.8,Intel, Core i7 8550U ,512.0,0.0,SSD,None,0,1920x1080,Without,Intel, UHD Graphics 620
Acer,Notebook,15.6,4,Windows 10,2.4,245.51424,2.4,Intel, Core i3 7100U ,1000.0,0.0,HDD,None,0,1366x768,Without,Intel, HD Graphics 620
Dell,Notebook,15.6,8,Windows 10,2.13,490.900608,1.8,Intel, Core i7 8550U ,256.0,0.0,SSD,None,0,1920x1080,Without,AMD, Radeon 520
HP,Notebook,15.6,4,Windows 10,1.91,280.67904,2.0,Intel, Core i3 6006U ,128.0,0.0,SSD,None,0,1920x1080,Without,Intel, HD Graphics 520
Asus,Notebook,15.6,4,Windows 10,2.0,374.7864384,2.5,Intel, Core i5 7200U ,256.0,0.0,SSD,None,0,1366x768,Without,Intel, HD Graphics 620
MSI,Gaming,17.3,16,Windows 10,2.43,1565.7926400000001,2.8,Intel, Core i7 7700HQ ,256.0,2000.0,SSD,HDD,0,1920x1080,Without,Nvidia, GeForce GTX 1070
Asus,Notebook,15.6,4,Linux,2.0,265.3344,2.0,Intel, Core i3 6006U ,256.0,0.0,SSD,None,0,1920x1080,Without,Intel, HD Graphics 520
Dell,Notebook,17.3,16,Windows 10,2.8,830.52864,1.8,Intel, Core i7 8550U ,256.0,2000.0,SSD,HDD,0,1920x1080,Without,AMD, Radeon 530
Dell,Ultrabook,14.0,8,Windows 10,1.7,561.9974400000001,1.6,Intel, Core i5 8250U ,256.0,0.0,SSD,None,0,1920x1080,Without,Intel, UHD Graphics 620
Lenovo,Notebook,14.0,8,No OS,1.7,382.97664000000003,2.7,Intel, Core i3 7130U ,256.0,0.0,SSD,None,0,1920x1080,IPSPanel,Intel, HD Graphics 620
Asus,Notebook,14.0,8,Windows 10,1.4,601.6377600000001,1.6,Intel, Core i5 8250U ,256.0,0.0,SSD,None,0,1920x1080,Without,Intel, UHD Graphics 620
HP,Notebook,15.6,8,Windows 10,1.86,441.1584,2.5,Intel, Core i5 7200U ,256.0,0.0,SSD,None,0,1920x1080,Without,Intel, HD Graphics 620
Asus,Ultrabook,15.6,16,Windows 10,1.8,1267.8508800000002,2.8,Intel, Core i7 7700HQ ,512.0,0.0,SSD,None,0,1920x1080,Without,Nvidia, GeForce GTX 1050 Ti
HP,Notebook,15.6,4,Windows 10,1.86,280.48083840000004,2.0,Intel, Core i3 6006U ,500.0,0.0,HDD,None,0,1366x768,Without,AMD, Radeon 520
HP,Notebook,14.0,4,Windows 10,1.44,146.41344,1.6,Intel, Celeron Dual Core N3060 ,32.0,0.0,SSD,None,0,1366x768,Without,Intel, HD Graphics 400
Lenovo,Notebook,15.6,4,Windows 10,1.9,351.00864,2.5,Intel, Core i5 7200U ,1000.0,0.0,HDD,None,0,1920x1080,Without,Intel, HD Graphics 620
Asus,Gaming,17.3,12,Linux,3.0,606.75264,2.8,Intel, Core i7 7700HQ ,1000.0,0.0,HDD,None,0,1920x1080,Without,Nvidia, GeForce GTX 1050 Ti
Microsoft,Ultrabook,13.5,4,Windows 10 S,1.252,696.26304,2.5,Intel, Core i5 7200U ,128.0,0.0,SSD,None,1,2256x1504,Without,Intel, HD Graphics 620
Dell,Notebook,15.6,8,Windows 10,2.2,556.2432,1.8,Intel, Core i7 8550U ,256.0,0.0,SSD,None,0,1920x1080,Without,AMD, Radeon 530
MSI,Gaming,17.3,8,Windows 10,2.7,700.0992,2.5,Intel, Core i5 7300HQ ,128.0,1000.0,SSD,HDD,0,1920x1080,Without,Nvidia, GeForce GTX 1050
Acer,Notebook,14.0,8,Windows 10,2.1,248.71104,2.0,Intel, Core i3 6006U ,1000.0,0.0,HDD,None,0,1366x768,Without,Intel, HD Graphics 520
Asus,Gaming,15.6,8,Windows 10,2.2,606.75264,2.8,Intel, Core i7 7700HQ ,1000.0,0.0,HDD,None,0,1920x1080,Without,Nvidia, GeForce GTX 1050
Lenovo,Notebook,15.6,8,No OS,2.2,331.82784,2.5,Intel, Core i5 7200U ,2000.0,0.0,HDD,None,0,1920x1080,Without,Intel, HD Graphics 620
Dell,Notebook,15.6,8,Windows 10,2.02,546.6528000000001,1.8,Intel, Core i7 8550U ,128.0,1000.0,SSD,HDD,0,1920x1080,Without,Intel, UHD Graphics 620
Acer,Notebook,15.6,4,Windows 10,2.2,338.86080000000004,2.7,Intel, Core i3 7130U ,1000.0,0.0,HDD,None,0,1920x1080,Without,Nvidia, GeForce MX130
HP,Notebook,17.3,8,Windows 10,2.5,624.65472,1.6,Intel, Core i5 8250U ,128.0,1000.0,SSD,HDD,0,1920x1080,Without,Nvidia, GeForce 930MX
Dell,Ultrabook,15.6,8,Windows 10,1.88,700.8408575999999,1.6,Intel, Core i5 8250U ,256.0,0.0,SSD,None,0,1920x1080,IPSPanel,Intel, UHD Graphics 620
Apple,Ultrabook,12.0,8,macOS,0.92,965.4336000000001,1.3,Intel, Core i5 ,512.0,0.0,SSD,None,0,2304x1440,IPSPanelRetinaDisplay,Intel, HD Graphics 615
HP,Notebook,14.0,8,Windows 10,1.63,549.8496,1.6,Intel, Core i5 8250U ,256.0,0.0,SSD,None,0,1920x1080,Without,Intel, HD Graphics 620
Lenovo,Notebook,15.6,4,Windows 10,2.2,255.10464000000002,2.5,AMD, A6-Series 9220 ,128.0,0.0,SSD,None,0,1920x1080,Without,AMD, R4 Graphics
Acer,Notebook,15.6,4,Windows 10,2.1,252.54719999999998,3.0,AMD, A9-Series 9420 ,1000.0,0.0,HDD,None,0,1366x768,Without,AMD, Radeon R5
Dell,Gaming,15.6,16,Windows 10,2.65,862.4966400000001,2.8,Intel, Core i7 7700HQ ,128.0,1000.0,SSD,HDD,0,1920x1080,IPSPanel,Nvidia, GeForce GTX 1050 Ti
HP,Ultrabook,15.6,8,Windows 10,1.83,446.91264,1.8,Intel, Core i7 8550U ,256.0,0.0,SSD,None,0,1920x1080,IPSPanel,Nvidia, GeForce GTX 940MX
HP,Notebook,15.6,8,Windows 10,1.96,382.9702464,2.5,Intel, Core i5 7200U ,256.0,0.0,SSD,None,0,1920x1080,Without,Intel, HD Graphics 620
Asus,Gaming,15.6,16,Windows 10,2.2,926.43264,2.8,Intel, Core i7 7700HQ ,128.0,1000.0,SSD,HDD,0,1920x1080,IPSPanel,Nvidia, GeForce GTX 1060
Dell,Ultrabook,13.3,8,Windows 10,1.21,1054.30464,1.8,Intel, Core i7 8550U ,256.0,0.0,SSD,None,0,1920x1080,IPSPanel,Intel, UHD Graphics 620
Asus,Gaming,15.6,8,Windows 10,2.45,446.91264,3.0,AMD, FX 9830P ,1000.0,0.0,HDD,None,0,1920x1080,Without,AMD, Radeon RX 560
Acer,Notebook,15.6,2,Windows 10,2.2,440.51903999999996,1.8,Intel, Core i7 8550U ,1000.0,0.0,HDD,None,0,1920x1080,Without,Nvidia, GeForce MX150
HP,Notebook,13.3,16,Windows 10,1.49,765.31392,1.8,Intel, Core i7 8550U ,512.0,0.0,SSD,None,0,1920x1080,Without,Intel, UHD Graphics 620
Dell,Gaming,15.6,8,Windows 10,2.65,764.0352,2.5,Intel, Core i5 7300HQ ,256.0,0.0,SSD,None,0,1920x1080,Without,Nvidia, GeForce GTX 1060
Asus,Ultrabook,14.0,8,Windows 10,1.25,670.6886400000001,2.7,Intel, Core i7 7500U ,256.0,0.0,SSD,None,0,1920x1080,Without,Intel, HD Graphics 620
Acer,2 in 1 Convertible,13.3,8,Windows 10,1.5,541.5379200000001,1.6,Intel, Core i5 8250U ,256.0,0.0,SSD,None,1,1920x1080,IPSPanel,Intel, UHD Graphics 620
Dell,Notebook,15.6,8,Linux,2.2,383.552064,2.7,Intel, Core i7 7500U ,1000.0,0.0,HDD,None,0,1920x1080,Without,AMD, Radeon R5 M430
Dell,Notebook,15.6,4,Linux,2.2,310.0896,2.0,Intel, Core i3 6006U ,256.0,0.0,SSD,None,0,1920x1080,Without,AMD, Radeon R5 M430
Asus,Notebook,15.6,6,Windows 10,2.0,368.91072,2.4,Intel, Core i3 7100U ,256.0,0.0,SSD,None,0,1920x1080,Without,Nvidia, GeForce 920M
HP,Gaming,15.6,12,Windows 10,2.62,798.56064,2.8,Intel, Core i7 7700HQ ,128.0,1000.0,SSD,HDD,0,1920x1080,IPSPanel,Nvidia, GeForce GTX 1050
HP,Notebook,15.6,8,Windows 10,1.91,459.69984,2.7,Intel, Core i7 7500U ,256.0,0.0,SSD,None,0,1920x1080,Without,AMD, Radeon 530
HP,Notebook,15.6,4,Windows 10,2.1,223.13664000000003,1.5,AMD, E-Series E2-9000e ,500.0,0.0,HDD,None,0,1920x1080,Without,AMD, Radeon R2
Dell,Notebook,15.6,8,Linux,2.2,413.66592,1.6,Intel, Core i5 8250U ,1000.0,0.0,HDD,None,0,1920x1080,Without,AMD, Radeon 520
HP,Ultrabook,13.3,8,Windows 10,1.38,715.44384,2.7,Intel, Core i7 7500U ,256.0,0.0,SSD,None,0,1920x1080,IPSPanel,Nvidia, GeForce MX150
Microsoft,Ultrabook,13.5,8,Windows 10 S,1.252,856.7424,2.5,Intel, Core i5 7200U ,256.0,0.0,SSD,None,1,2256x1504,Without,Intel, HD Graphics 620
HP,Notebook,14.0,6,Windows 10,1.58,421.33824,2.5,Intel, Core i5 7200U ,256.0,0.0,SSD,None,0,1920x1080,IPSPanel,Nvidia, GeForce 940MX
Lenovo,Notebook,15.6,4,Windows 10,1.85,265.270464,2.0,Intel, Core i3 6006U ,1000.0,0.0,HDD,None,0,1920x1080,Without,Intel, HD Graphics 520
Asus,Ultrabook,14.0,8,Windows 10,1.3,762.75648,2.7,Intel, Core i7 7500U ,256.0,0.0,SSD,None,0,1920x1080,IPSPanel,Nvidia, GeForce 940MX
MSI,Gaming,15.6,16,Windows 10,2.2,830.52864,2.8,Intel, Core i7 7700HQ ,256.0,1000.0,SSD,HDD,0,1920x1080,Without,Nvidia, GeForce GTX 1050 Ti
Lenovo,Notebook,14.0,8,Windows 10,1.58,946.2528,2.7,Intel, Core i7 7500U ,256.0,0.0,SSD,None,0,1920x1080,IPSPanel,Intel, HD Graphics 620
Asus,Ultrabook,15.6,16,Windows 10,1.5,806.8723200000001,1.8,Intel, Core i7 8550U ,256.0,1000.0,SSD,HDD,0,1920x1080,Without,Nvidia, GeForce MX150
Dell,Ultrabook,13.3,8,Windows 10,1.23,881.6774399999999,2.4,Intel, Core i7 7560U ,256.0,0.0,SSD,None,1,3200x1800,Without,Intel, Iris Plus Graphics 640
Lenovo,2 in 1 Convertible,13.3,8,Windows 10,1.37,894.46464,2.5,Intel, Core i5 7200U ,256.0,0.0,SSD,None,1,1920x1080,IPSPanel,Intel, HD Graphics 620
HP,Notebook,14.0,4,Windows 10,1.63,461.61792,1.6,Intel, Core i5 8250U ,500.0,0.0,HDD,None,0,1366x768,IPSPanel,Intel, UHD Graphics 620
Dell,Ultrabook,13.3,8,Windows 10,1.21,1041.51744,1.6,Intel, Core i5 8250U ,256.0,0.0,SSD,None,0,1920x1080,IPSPanel,Intel, UHD Graphics 620
HP,Notebook,14.0,8,Windows 10,1.63,693.06624,1.8,Intel, Core i7 8550U ,512.0,0.0,SSD,None,0,1920x1080,Without,Intel, UHD Graphics 620
Dell,Notebook,15.6,8,Windows 10,2.16,722.6877888,1.8,Intel, Core i7 8550U ,256.0,1000.0,SSD,HDD,0,1920x1080,IPSPanel,Nvidia, GeForce 940MX
Asus,Notebook,17.3,4,Windows 10,2.0,360.59904,2.0,Intel, Core i3 6006U ,1000.0,0.0,HDD,None,0,1920x1080,Without,Nvidia, GeForce 920MX
Asus,Notebook,15.6,8,Windows 10,1.7,714.80448,1.8,Intel, Core i7 8550U ,256.0,0.0,SSD,None,0,1920x1080,Without,Nvidia, GeForce 940MX
Acer,Notebook,15.6,6,Windows 10,2.1,306.25344,2.4,Intel, Core i3 7100U ,1000.0,0.0,HDD,None,1,1920x1080,IPSPanel,Intel, HD Graphics 620
MSI,Gaming,15.6,16,Windows 10,1.8,1433.12544,2.8,Intel, Core i7 7700HQ ,256.0,2000.0,SSD,HDD,0,1920x1080,Without,Nvidia, GeForce GTX 1070
Lenovo,Notebook,15.6,8,No OS,2.2,402.15744000000007,2.5,Intel, Core i5 7200U ,256.0,0.0,SSD,None,0,1920x1080,Without,Nvidia, GeForce 940MX
HP,Notebook,17.3,16,Windows 10,2.5,812.62656,1.8,Intel, Core i7 8550U ,512.0,0.0,SSD,None,0,1920x1080,Without,Nvidia, GeForce 930MX 
Acer,Notebook,15.6,4,Windows 10,2.1,288.35136,3.0,AMD, A9-Series 9420 ,256.0,0.0,SSD,None,0,1366x768,Without,AMD, Radeon R5
HP,Notebook,14.0,8,Windows 10,1.63,519.1603200000001,1.6,Intel, Core i5 8250U ,1000.0,0.0,HDD,None,0,1920x1080,Without,Intel, UHD Graphics 620
Asus,Notebook,14.0,4,Windows 10 S,1.65,177.7356864,1.5,AMD, E-Series 6110 ,64.0,0.0,SSD,None,0,1366x768,Without,AMD, Radeon R2
Dell,Notebook,17.3,16,Windows 10,2.8,892.5465600000001,1.8,Intel, Core i7 8550U ,256.0,2000.0,SSD,HDD,0,1920x1080,Without,AMD, Radeon 530
HP,Notebook,17.3,8,Windows 10,2.5,593.3260799999999,1.6,Intel, Core i5 8250U ,256.0,0.0,SSD,None,0,1920x1080,Without,Intel, UHD Graphics 620
Dell,Notebook,15.6,8,Windows 10,2.36,408.5446464,2.5,Intel, Core i5 7200U ,1000.0,0.0,HDD,None,0,1366x768,Without,AMD, Radeon R7 M445
Dell,Notebook,15.6,4,Windows 10,2.2,287.07264000000004,2.0,Intel, Core i3 6006U ,1000.0,0.0,HDD,None,0,1920x1080,Without,AMD, Radeon R5 M430
Acer,Ultrabook,14.0,8,Windows 10,1.6,565.1942399999999,1.8,Intel, Core i7 8550U ,256.0,0.0,SSD,None,0,1920x1080,IPSPanel,Intel, UHD Graphics 620
Acer,Notebook,15.6,4,Windows 10,7.2,365.71392000000003,2.7,Intel, Core i3 7130U ,256.0,0.0,SSD,None,0,1920x1080,Without,Nvidia, GeForce MX130
HP,Notebook,15.6,8,Windows 10,2.05,382.33727999999996,2.7,Intel, Core i7 7500U ,1000.0,0.0,HDD,None,0,1366x768,Without,Intel, HD Graphics 620
HP,Notebook,14.0,8,Windows 10,1.63,631.68768,1.8,Intel, Core i7 8550U ,256.0,0.0,SSD,None,0,1920x1080,Without,Intel, UHD Graphics 620
Lenovo,Notebook,15.6,4,No OS,1.9,161.3488896,1.1,Intel, Celeron Dual Core N3350 ,1000.0,0.0,HDD,None,0,1366x768,Without,Intel, HD Graphics 500
Asus,Gaming,17.3,8,Windows 10,3.0,599.71968,2.5,Intel, Core i5 7300HQ ,128.0,1000.0,SSD,HDD,0,1920x1080,Without,Nvidia, GeForce GTX 1050
Lenovo,Notebook,15.6,4,No OS,2.2,319.04064,2.5,Intel, Core i5 7200U ,1000.0,0.0,HDD,None,0,1920x1080,Without,Nvidia, GeForce 920MX
HP,Notebook,13.3,4,Windows 10,1.32,446.91264,2.5,Intel, Core i5 7200U ,256.0,0.0,SSD,None,0,1920x1080,IPSPanel,Intel, HD Graphics 620
Acer,Notebook,17.3,4,Windows 10,3.0,418.7808,2.7,Intel, Core i3 7130U ,1000.0,0.0,HDD,None,0,1920x1080,IPSPanel,Nvidia, GeForce MX130
Lenovo,Notebook,14.0,8,Windows 10,1.75,713.5385472,1.6,Intel, Core i5 8250U ,256.0,0.0,SSD,None,0,1920x1080,IPSPanel,AMD, Radeon RX 550
Lenovo,Gaming,15.6,8,No OS,2.4,555.60384,2.8,Intel, Core i7 7700HQ ,256.0,0.0,SSD,None,0,1920x1080,IPSPanel,Nvidia, GeForce GTX 1050M
Toshiba,Notebook,15.6,4,Windows 10,2.1,384.89472,2.3,Intel, Core i5 6200U ,500.0,0.0,HDD,None,0,1366x768,Without,Intel, HD Graphics 520
HP,Notebook,15.6,4,Windows 10,1.86,235.92384,2.5,AMD, A6-Series 9220 ,256.0,0.0,SSD,None,0,1366x768,Without,AMD, Radeon R4 Graphics
Asus,Ultrabook,14.0,8,Windows 10,1.25,702.65664,1.8,Intel, Core i7 8550U ,256.0,0.0,SSD,None,0,1920x1080,Without,Intel, UHD Graphics 620
HP,Ultrabook,12.5,8,Windows 10,0.97,1287.67104,1.2,Intel, Core M 6Y75 ,512.0,0.0,SSD,None,1,3840x2160,IPSPanel,Intel, HD Graphics 515
Asus,Notebook,15.6,4,Windows 10,2.0,219.93984,1.1,Intel, Celeron Dual Core N3350 ,1000.0,0.0,HDD,None,0,1920x1080,Without,Intel, HD Graphics 500
Acer,Notebook,15.6,4,Windows 10,2.1,285.79392,2.0,Intel, Core i3 6006U ,1000.0,0.0,HDD,None,0,1366x768,Without,Intel, HD Graphics 520
Dell,Gaming,15.6,16,Windows 10,2.56,798.7268736,2.8,Intel, Core i7 7700HQ ,512.0,0.0,SSD,None,0,1920x1080,Without,Nvidia, GeForce GTX 1050
Dell,Gaming,15.6,8,Windows 10,2.62,574.7846400000001,2.8,Intel, Core i7 7700HQ ,1000.0,0.0,Hybrid,None,0,1920x1080,Without,Nvidia, GeForce GTX 1050
Lenovo,Notebook,15.6,4,Windows 10,1.9,318.40128,2.5,Intel, Core i5 7200U ,128.0,0.0,SSD,None,0,1366x768,Without,Intel, HD Graphics 620
MSI,Gaming,17.3,16,Windows 10,2.8,1208.3904,2.8,Intel, Core i7 7700HQ ,256.0,1000.0,SSD,HDD,0,1920x1080,Without,Nvidia, GeForce GTX 1060
HP,Ultrabook,14.0,4,Windows 10,1.48,691.78752,2.7,Intel, Core i5 7500U ,256.0,0.0,SSD,None,0,1920x1080,Without,Intel, HD Graphics 620
HP,Notebook,15.6,6,Windows 10,1.91,395.76384,1.6,Intel, Core i5 8250U ,256.0,0.0,SSD,None,0,1920x1080,Without,AMD, Radeon 520
Lenovo,2 in 1 Convertible,14.0,4,Windows 10,1.74,402.15744000000007,2.4,Intel, Core i3 7100U ,256.0,0.0,SSD,None,1,1920x1080,IPSPanel,Intel, HD Graphics 620
Asus,2 in 1 Convertible,13.3,8,Windows 10,1.1,840.7583999999999,1.6,Intel, Core i5 8250U ,256.0,0.0,SSD,None,1,1920x1080,Without,Intel, HD Graphics 620
